,Offers
2016011608,49.95
2016011609,49.95
2016011610,44.49
2016011611,44.0
2016011612,140.0
2016011613,160.0
2016011614,160.0
2016011615,140.0
2016011616,47.5
2016011617,200.0
2016011618,200.0
2016011619,200.0
2016011620,200.0
2016011621,200.0
2016011622,325.0
2016011623,200.0
2016011624,200.0
2016011625,200.0
2016011626,200.0
2016011627,200.0
2016011628,200.0
2016011629,200.0
2016011630,140.0
2016011631,60.0
2016011632,139.0
2016011633,325.0
2016011634,325.0
2016011635,140.0
2016011636,140.0
2016011637,325.0
2016011638,139.0
2016011639,139.0
2016011640,139.0
2016011641,139.0
2016011642,59.75
2016011643,47.6
2016011644,47.6
2016011645,47.3
2016011646,47.3
2016011647,120.0
2016011648,120.0
2016011701,120.0
2016011702,55.74
2016011703,55.74
2016011704,55.74
2016011705,160.0
2016011706,43.99
2016011707,43.99
2016011708,43.5
2016011709,52.0
2016011710,43.5
2016011711,43.5
2016011712,51.0
2016011713,140.0
2016011714,42.75
2016011715,160.0
2016011716,43.25
2016011717,52.0
2016011718,142.0
2016011719,140.0
2016011720,140.0
2016011721,140.0
2016011722,140.0
2016011723,140.0
2016011724,160.0
2016011725,170.0
2016011726,160.0
2016011727,140.0
2016011728,139.0
2016011729,170.0
2016011730,170.0
2016011731,90.0
2016011732,62.5
2016011733,130.0
2016011734,90.0
2016011735,90.0
2016011736,62.5
2016011737,62.5
2016011738,62.5
2016011739,140.0
2016011740,140.0
2016011741,160.0
2016011742,47.0
2016011743,131.0
2016011744,47.0
2016011745,47.0
2016011746,47.0
2016011747,45.0
2016011748,42.95
2016011801,42.95
2016011802,42.95
2016011803,50.0
2016011804,50.0
2016011805,140.0
2016011806,140.0
2016011807,140.0
2016011808,55.74
2016011809,140.0
2016011810,140.0
2016011811,42.95
2016011812,160.0
2016011813,133.0
2016011814,142.0
2016011815,140.0
2016011816,139.0
2016011817,139.0
2016011818,
2016011819,40.0
2016011820,75.0
2016011821,75.0
2016011822,140.0
2016011823,75.0
2016011824,75.0
2016011825,75.0
2016011826,139.0
2016011827,75.0
2016011828,75.0
2016011829,160.0
2016011830,130.0
2016011831,100.0
2016011832,140.0
2016011833,325.0
2016011834,150.0
2016011835,150.0
2016011836,132.0
2016011837,160.0
2016011838,325.0
2016011839,160.0
2016011840,170.0
2016011841,170.0
2016011842,140.0
2016011843,140.0
2016011844,132.0
2016011845,139.0
2016011846,100.0
2016011847,160.0
2016011848,160.0
2016011901,140.0
2016011902,50.0
2016011903,40.0
2016011904,51.0
2016011905,51.0
2016011906,44.0
2016011907,40.0
2016011908,
2016011909,52.0
2016011910,
2016011911,140.0
2016011912,49.25
2016011913,300.0
2016011914,140.0
2016011915,139.0
2016011916,139.0
2016011917,170.0
2016011918,129.0
2016011919,129.0
2016011920,129.0
2016011921,129.0
2016011922,90.0
2016011923,
2016011924,80.0
2016011925,139.0
2016011926,80.0
2016011927,80.0
2016011928,129.0
2016011929,300.0
2016011930,300.0
2016011931,400.0
2016011932,400.0
2016011933,400.0
2016011934,400.0
2016011935,400.0
2016011936,400.0
2016011937,400.0
2016011938,400.0
2016011939,400.0
2016011940,400.0
2016011941,400.0
2016011942,135.0
2016011943,135.0
2016011944,135.0
2016011945,139.0
2016011946,130.0
2016011947,160.0
2016011948,200.0
2016012001,
2016012002,40.0
2016012003,
2016012004,
2016012005,
2016012006,42.5
2016012007,42.5
2016012008,40.0
2016012009,
2016012010,
2016012011,140.0
2016012012,139.0
2016012013,140.0
2016012014,140.0
2016012015,139.0
2016012016,140.0
2016012017,170.0
2016012018,139.0
2016012019,139.0
2016012020,130.0
2016012021,130.0
2016012022,139.0
2016012023,65.0
2016012024,150.0
2016012025,150.0
2016012026,150.0
2016012027,150.0
2016012028,150.0
2016012029,150.0
2016012030,150.0
2016012031,184.22
2016012032,184.22
2016012033,184.22
2016012034,243.75
2016012035,243.75
2016012036,224.95
2016012037,224.95
2016012038,140.0
2016012039,140.0
2016012040,140.0
2016012041,140.0
2016012042,140.0
2016012043,140.0
2016012044,65.0
2016012045,160.0
2016012046,47.05
2016012047,160.0
2016012048,47.05
2016012101,44.0
2016012102,44.0
2016012103,44.0
2016012104,
2016012105,46.95
2016012106,46.95
2016012107,40.0
2016012108,41.0
2016012109,49.0
2016012110,49.0
2016012111,49.0
2016012112,49.0
2016012113,140.0
2016012114,160.0
2016012115,119.0
2016012116,140.0
2016012117,139.0
2016012118,140.0
2016012119,185.0
2016012120,185.0
2016012121,185.0
2016012122,185.0
2016012123,185.33
2016012124,185.33
2016012125,185.33
2016012126,185.33
2016012127,185.33
2016012128,69.0
2016012129,131.0
2016012130,131.0
2016012131,131.0
2016012132,140.0
2016012133,140.0
2016012134,131.0
2016012135,140.0
2016012136,131.0
2016012137,160.0
2016012138,131.0
2016012139,140.0
2016012140,94.98
2016012141,139.0
2016012142,140.0
2016012143,140.0
2016012144,500.0
2016012145,160.0
2016012146,140.0
2016012147,120.0
2016012148,120.0
2016012201,140.0
2016012202,140.0
