,Bids
2016011546,10.0
2016011547,-30.0
2016011548,0.0
2016011601,26.86
2016011602,27.0
2016011603,27.0
2016011604,27.0
2016011605,27.0
2016011606,27.0
2016011607,26.01
2016011608,27.0
2016011609,26.01
2016011610,27.0
2016011611,27.0
2016011612,35.0
2016011613,-150.0
2016011614,-150.0
2016011615,27.0
2016011616,27.5
2016011617,24.75
2016011618,27.9
2016011619,24.0
2016011620,24.0
2016011621,0.0
2016011622,0.0
2016011623,0.0
2016011624,0.0
2016011625,15.0
2016011626,24.0
2016011627,0.0
2016011628,0.0
2016011629,28.0
2016011630,28.0
2016011631,15.0
2016011632,27.3
2016011633,27.3
2016011634,0.0
2016011635,28.0
2016011636,0.0
2016011637,0.0
2016011638,0.0
2016011639,28.0
2016011640,28.0
2016011641,20.0
2016011642,28.5
2016011643,27.5
2016011644,27.26
2016011645,26.9
2016011646,25.0
2016011647,24.0
2016011648,24.0
2016011701,26.86
2016011702,26.86
2016011703,25.01
2016011704,27.0
2016011705,0.0
2016011706,27.05
2016011707,27.05
2016011708,27.05
2016011709,21.0
2016011710,21.0
2016011711,28.1
2016011712,24.0
2016011713,24.0
2016011714,0.0
2016011715,-150.0
2016011716,24.0
2016011717,24.0
2016011718,10.0
2016011719,26.9
2016011720,27.0
2016011721,40.0
2016011722,28.0
2016011723,0.0
2016011724,28.0
2016011725,0.01
2016011726,28.0
2016011727,28.35
2016011728,28.35
2016011729,
2016011730,
2016011731,28.0
2016011732,28.0
2016011733,28.0
2016011734,0.0
2016011735,0.0
2016011736,0.0
2016011737,24.0
2016011738,0.15
2016011739,24.0
2016011740,24.0
2016011741,24.0
2016011742,15.0
2016011743,27.26
2016011744,0.0
2016011745,0.0
2016011746,0.0
2016011747,-39.95
2016011748,-40.0
2016011801,-40.0
2016011802,-40.0
2016011803,-40.0
2016011804,-40.0
2016011805,-40.0
2016011806,-40.0
2016011807,-40.0
2016011808,-40.0
2016011809,-40.0
2016011810,-40.0
2016011811,-40.0
2016011812,-150.0
2016011813,-150.0
2016011814,0.0
2016011815,15.0
2016011816,24.35
2016011817,24.35
2016011818,24.35
2016011819,22.0
2016011820,22.0
2016011821,0.0
2016011822,22.0
2016011823,28.4
2016011824,28.45
2016011825,28.65
2016011826,28.5
2016011827,28.55
2016011828,27.8
2016011829,28.15
2016011830,28.2
2016011831,28.2
2016011832,28.2
2016011833,0.0
2016011834,0.0
2016011835,0.0
2016011836,0.0
2016011837,0.0
2016011838,0.0
2016011839,24.5
2016011840,0.0
2016011841,0.0
2016011842,28.65
2016011843,27.35
2016011844,27.35
2016011845,21.0
2016011846,21.0
2016011847,10.0
2016011848,24.8
2016011901,24.8
2016011902,26.5
2016011903,28.15
2016011904,0.3
2016011905,27.6
2016011906,27.6
