,index,DA_margin,DA_imb
775,201601178,25497,530
776,201601179,25889,176
777,2016011710,26732,542
778,2016011711,26882,500
779,2016011712,26827,430
780,2016011713,27067,302
781,2016011714,26884,206
782,2016011715,27166,689
783,2016011716,27547,1121
784,2016011717,26274,484
785,2016011718,24145,230
786,2016011719,22128,561
787,2016011720,19943,764
788,2016011721,18756,276
789,2016011722,18038,297
790,2016011723,17437,397
791,2016011724,16561,390
792,2016011725,16172,371
793,2016011726,16158,533
794,2016011727,16577,615
795,2016011728,16986,862
796,2016011729,16907,593
797,2016011730,16355,875
798,2016011731,16186,1541
799,2016011732,15943,2011
800,2016011733,14529,1989
801,2016011734,11806,1219
802,2016011735,10347,-23
803,2016011736,10299,279
804,2016011737,11157,507
805,2016011738,12515,810
806,2016011739,13522,427
807,2016011740,15200,447
808,2016011741,16968,220
809,2016011742,18866,749
810,2016011743,18613,281
811,2016011744,20554,725
812,2016011745,22283,282
813,2016011746,24140,-15
814,2016011747,26328,-642
815,2016011748,27069,-680
816,201601181,27386,-1044
817,201601182,27207,-1301
818,201601183,29102,739
819,201601184,29409,651
820,201601185,29749,793
821,201601186,29540,378
822,201601187,29267,442
823,201601188,29642,757
824,201601189,29453,708
825,2016011810,29342,548
826,2016011811,28653,912
827,2016011812,27802,949
828,2016011813,24723,1207
829,2016011814,21652,1650
830,2016011815,15465,2118
831,2016011816,12911,1462
832,2016011817,12612,1712
833,2016011818,12580,2147
834,2016011819,11864,1173
835,2016011820,10976,917
836,2016011821,11212,1278
837,2016011822,11025,739
838,2016011823,11325,1063
839,2016011824,11653,771
840,2016011825,11452,396
841,2016011826,11513,501
842,2016011827,11478,202
843,2016011828,11552,393
844,2016011829,11276,486
845,2016011830,11222,1017
846,2016011831,11183,1126
847,2016011832,10262,806
848,2016011833,10140,1504
849,2016011834,8869,1197
850,2016011835,7842,1149
851,2016011836,8039,1352
852,2016011837,8653,1408
853,2016011838,9438,1800
854,2016011839,10205,1896
855,2016011840,10929,1148
856,2016011841,12138,662
857,2016011842,13714,630
858,2016011843,15064,528
859,2016011844,17459,889
860,2016011845,18636,421
861,2016011846,20778,1095
862,2016011847,23210,316
863,2016011848,23199,120
864,201601191,23292,330
865,201601192,22855,39
866,201601193,23822,907
867,201601194,24299,712
868,201601195,24864,750
869,201601196,24904,824
870,201601197,25130,631
871,201601198,25856,1031
872,201601199,25091,423
873,2016011910,24344,743
874,2016011911,22304,374
875,2016011912,21139,733
876,2016011913,18242,684
877,2016011914,15664,1179
878,2016011915,11903,1115
879,2016011916,9186,369
880,2016011917,9253,321
881,2016011918,9344,1149
882,2016011919,9097,1383
883,2016011920,8805,1089
884,2016011921,8573,917
885,2016011922,8702,942
886,2016011923,8830,753
887,2016011924,8898,652
888,2016011925,10162,1330
889,2016011926,9713,896
890,2016011927,9779,840
891,2016011928,9889,986
892,2016011929,9552,931
893,2016011930,9711,874
894,2016011931,10057,1069
895,2016011932,9082,380
896,2016011933,9903,932
897,2016011934,8031,323
898,2016011935,7125,349
899,2016011936,7338,554
900,2016011937,7693,670
901,2016011938,7769,277
902,2016011939,7765,-431
903,2016011940,9273,572
904,2016011941,8956,-275
905,2016011942,11035,528
906,2016011943,12181,-80
907,2016011944,14141,598
908,2016011945,15271,363
909,2016011946,17486,842
910,2016011947,21341,1069
911,2016011948,21525,593
912,201601201,23107,1152
913,201601202,22793,666
914,201601203,23665,1074
915,201601204,24024,842
916,201601205,24172,636
917,201601206,23990,524
918,201601207,23687,36
919,201601208,24874,361
920,201601209,23754,281
921,2016012010,23802,326
922,2016012011,21686,291
923,2016012012,20875,466
924,2016012013,19397,1225
925,2016012014,15813,1359
926,2016012015,11102,1396
927,2016012016,8981,993
928,2016012017,8227,477
929,2016012018,8180,510
930,2016012019,8218,553
931,2016012020,7722,410
932,2016012021,7633,351
933,2016012022,7909,678
934,2016012023,7687,777
935,2016012024,9584,1944
936,2016012025,9597,1787
937,2016012026,9803,1968
938,2016012027,9450,1669
939,2016012028,9374,1169
940,2016012029,9446,1337
941,2016012030,9968,1635
942,2016012031,9235,1020
943,2016012032,8079,569
944,2016012033,10000,1851
945,2016012034,7525,439
946,2016012035,7237,815
947,2016012036,7317,797
948,2016012037,7431,438
949,2016012038,7897,689
950,2016012039,8117,628
951,2016012040,9346,708
952,2016012041,8288,97
953,2016012042,10385,517
954,2016012043,11664,-298
955,2016012044,13498,-231
956,2016012045,15650,-43
957,2016012046,17735,159
958,2016012047,21522,82
959,2016012048,22055,-27
960,201601211,21179,612
961,201601212,20513,250
962,201601213,20904,118
963,201601214,21593,435
964,201601215,22275,234
965,201601216,22300,42
966,201601217,22815,-185
967,201601218,23385,155
968,201601219,23853,-3
