,index,time_peak,peak(MW),total_cap(MW)
437,20170313,2300,4877,9910
438,20170314,1400,6569,9910
439,20170315,2300,4060,9910
440,20170316,1500,6877,9910
441,20170317,0500,6872,9910
442,20170318,0200,6785,9910
443,20170319,0500,7665,9910
444,20170320,1200,7915,9910
445,20170321,0600,7797,9910
446,20170322,1400,5754,9910
447,20170323,1600,4748,9910
448,20170324,0000,4213,9910
449,20170325,0300,2399,9910
450,20170326,2000,3060,9910
451,20170327,0000,2495,9910
452,20170328,2000,3665,9910
453,20170329,2300,6044,9910
454,20170330,0000,6047,9910
455,20170331,1200,5507,9910
456,20170401,2200,3646,9910
457,20170402,0000,3285,9910
458,20170403,1900,6169,9910
459,20170404,0400,4836,9910
460,20170405,0800,5578,9910
461,20170406,1600,3080,9910
462,20170407,0000,2225,9910
463,20170408,2300,2349,9910
464,20170409,2100,6777,9910
465,20170410,0000,6259,9910
466,20170411,2300,6756,9910
467,20170412,1100,7742,9910
468,20170413,0000,5230,9910
469,20170414,2300,5838,9910
470,20170415,1000,6681,9910
471,20170416,0000,3582,9910
472,20170417,1800,1934,9910
473,20170418,0600,2685,9910
474,20170419,2300,2118,9910
475,20170420,1600,3306,9910
476,20170421,1200,4505,9910
477,20170422,0000,2367,9910
478,20170423,2300,5503,9910
479,20170424,2300,7329,9910
480,20170425,0000,7391,9910
481,20170426,0000,5201,9910
482,20170427,1400,5274,9910
483,20170428,0000,2829,9910
484,20170429,2300,5756,9910
485,20170430,1300,8078,9910
486,20170501,0000,6273,9910
487,20170502,2300,3755,9910
488,20170503,1700,5352,9910
489,20170504,1800,6990,9910
490,20170505,1600,5552,9910
491,20170506,0100,4404,9910
492,20170507,2300,4099,9910
493,20170508,0800,4798,9910
494,20170509,0000,1801,9910
495,20170510,2300,892,9910
496,20170511,2300,3815,9910
497,20170512,0000,3711,9910
498,20170513,2300,5011,9910
499,20170514,0000,4833,9910
500,20170515,1300,7540,9910
501,20170516,1300,7273,9910
502,20170517,0000,2040,9910
503,20170518,0000,1204,9910
504,20170519,0700,2240,9910
505,20170520,1900,3831,9910
506,20170521,2300,3909,9910
507,20170522,0500,4427,9910
508,20170523,0000,3608,9910
509,20170524,0300,2964,9910
510,20170525,2300,2467,9910
511,20170526,2300,5419,9910
512,20170527,0100,5545,9910
513,20170528,0300,4849,9910
514,20170529,0600,3448,9910
515,20170530,1600,5938,9910
516,20170531,0000,3477,9910
517,20170601,1000,3827,9910
518,20170602,0000,2060,9910
519,20170603,1800,2113,9910
520,20170604,2300,3397,9910
521,20170605,1200,5032,9910
522,20170606,2000,8312,9910
523,20170607,0900,8500,9910
524,20170608,2100,5561,9910
525,20170609,0000,4943,9910
526,20170610,1900,6640,9910
527,20170611,1600,7557,9910
528,20170612,0900,8061,9910
529,20170613,0000,2878,9910
530,20170614,2300,4098,9910
531,20170615,2300,6118,9910
532,20170616,0300,6281,9910
533,20170617,0200,4094,9910
534,20170618,0000,2008,9910
535,20170619,1900,1587,9910
536,20170620,2300,4166,9910
537,20170621,0000,3957,9910
538,20170622,2300,3150,9910
539,20170623,1000,7181,9910
540,20170624,1800,7298,9910
541,20170625,0100,6393,9910
542,20170626,0000,2773,9910
543,20170627,0900,4180,9910
544,20170628,2100,4661,9910
545,20170629,1300,5857,9910
546,20170630,0000,3255,9910
547,20170701,2300,5390,9910
548,20170702,0100,5512,9910
549,20170703,0800,4680,9910
550,20170704,2100,1765,9910
551,20170705,2000,1154,9910
552,20170706,1600,2051,9910
553,20170707,0500,2121,9910
554,20170708,2300,2525,9910
555,20170709,0100,2882,9910
556,20170710,1600,1067,9910
557,20170711,1800,1655,9910
558,20170712,0700,2886,9910
559,20170713,2300,3355,9910
560,20170714,0700,4937,9910
561,20170715,1800,6305,9910
562,20170716,0000,4783,9910
563,20170717,0200,3428,9910
564,20170718,2300,6978,9910
565,20170719,0000,7147,9910
566,20170720,0100,4435,9910
567,20170721,1600,6590,9910
568,20170722,0000,5097,9910
569,20170723,2100,3356,9910
570,20170724,0300,3341,9910
571,20170725,0000,1961,9910
572,20170726,1300,7038,9910
573,20170727,0200,6053,9910
574,20170728,0900,6867,9910
575,20170729,0400,6498,9910
576,20170730,1800,5185,9910
577,20170731,0800,4520,9910
578,20170801,2300,3420,9910
579,20170802,1700,6424,9910
580,20170803,1600,6066,9910
581,20170804,0800,6969,9910
582,20170805,1700,3398,9910
583,20170806,1600,4424,9910
584,20170807,0100,4269,9910
585,20170808,2000,2598,9910
586,20170809,1800,4764,9910
