,PrevDay,PrevWeek
2016011725,200.0,120.89174783506277
2016011726,200.0,120.89174783506277
2016011727,200.0,52.0
2016011728,200.0,140.0
2016011729,200.0,140.0
2016011730,140.0,140.0
2016011731,60.0,140.0
2016011732,139.0,140.0
2016011733,325.0,140.0
2016011734,325.0,185.0
2016011735,140.0,185.0
2016011736,140.0,185.0
2016011737,325.0,185.0
2016011738,139.0,169.0
2016011739,139.0,169.0
2016011740,139.0,139.0
2016011741,139.0,125.0
2016011742,59.75,140.0
2016011743,47.6,140.0
2016011744,47.6,79.0
2016011745,47.3,139.0
2016011746,47.3,90.0
2016011747,120.0,120.0
2016011748,120.0,79.0
2016011801,120.0,120.0
2016011802,55.74,160.0
2016011803,55.74,79.0
2016011804,55.74,160.0
2016011805,160.0,79.0
2016011806,43.99,79.0
2016011807,43.99,75.0
2016011808,43.5,75.0
2016011809,52.0,160.0
2016011810,43.5,160.0
2016011811,43.5,79.0
2016011812,51.0,160.0
2016011813,140.0,140.0
2016011814,42.75,119.0
2016011815,160.0,139.0
2016011816,43.25,155.0
2016011817,52.0,155.0
2016011818,142.0,139.0
2016011819,140.0,139.0
2016011820,140.0,139.0
2016011821,140.0,155.0
2016011822,140.0,140.0
2016011823,140.0,140.0
2016011824,160.0,49.95
2016011825,170.0,140.0
2016011826,160.0,170.0
2016011827,140.0,66.74
2016011828,139.0,140.0
2016011829,170.0,140.0
2016011830,170.0,59.95
2016011831,90.0,59.95
2016011832,62.5,140.0
2016011833,130.0,160.0
2016011834,90.0,170.0
2016011835,90.0,120.89174783506277
2016011836,62.5,45.0
2016011837,62.5,59.95
2016011838,62.5,140.0
2016011839,140.0,140.0
2016011840,140.0,140.0
2016011841,160.0,139.0
2016011842,47.0,140.0
2016011843,131.0,140.0
2016011844,47.0,140.0
2016011845,47.0,140.0
2016011846,47.0,140.0
2016011847,45.0,52.0
2016011848,42.95,52.0
2016011901,42.95,160.0
2016011902,42.95,160.0
2016011903,50.0,140.0
2016011904,50.0,52.0
2016011905,140.0,52.0
2016011906,140.0,52.0
2016011907,140.0,52.0
2016011908,55.74,52.0
2016011909,140.0,52.0
2016011910,140.0,52.0
2016011911,42.95,52.0
2016011912,160.0,52.0
2016011913,133.0,140.0
2016011914,142.0,140.0
2016011915,140.0,155.0
2016011916,139.0,155.0
2016011917,139.0,139.0
2016011918,120.89174783506277,90.0
2016011919,40.0,47.23
2016011920,75.0,139.0
2016011921,75.0,140.0
2016011922,140.0,139.0
2016011923,75.0,139.0
2016011924,75.0,140.0
2016011925,75.0,160.0
2016011926,139.0,160.0
2016011927,75.0,160.0
2016011928,75.0,140.0
2016011929,160.0,140.0
2016011930,130.0,59.95
2016011931,100.0,59.95
2016011932,140.0,59.95
2016011933,325.0,140.0
2016011934,150.0,160.0
2016011935,150.0,160.0
2016011936,132.0,59.95
2016011937,160.0,160.0
2016011938,325.0,170.0
2016011939,160.0,59.95
2016011940,170.0,59.95
2016011941,170.0,59.75
2016011942,140.0,139.0
2016011943,140.0,139.0
2016011944,132.0,140.0
2016011945,139.0,140.0
2016011946,100.0,138.0
2016011947,160.0,138.0
2016011948,160.0,160.0
2016012001,140.0,160.0
2016012002,50.0,160.0
2016012003,40.0,52.0
2016012004,51.0,52.0
2016012005,51.0,140.0
2016012006,44.0,140.0
2016012007,40.0,52.0
2016012008,120.89174783506277,52.0
2016012009,52.0,52.0
2016012010,120.89174783506277,140.0
2016012011,140.0,52.0
2016012012,49.25,52.0
2016012013,300.0,250.0
2016012014,140.0,140.0
2016012015,139.0,140.0
2016012016,139.0,325.0
2016012017,170.0,135.0
2016012018,129.0,45.49
2016012019,129.0,140.0
2016012020,129.0,140.0
2016012021,129.0,85.0
2016012022,90.0,75.0
2016012023,120.89174783506277,75.0
2016012024,80.0,53.95
2016012025,139.0,53.95
2016012026,80.0,53.95
2016012027,80.0,53.95
2016012028,129.0,139.0
2016012029,300.0,139.0
2016012030,300.0,139.0
2016012031,400.0,139.0
2016012032,400.0,130.0
2016012033,400.0,170.0
2016012034,400.0,170.0
2016012035,400.0,130.0
2016012036,400.0,140.0
2016012037,400.0,140.0
2016012038,400.0,170.0
2016012039,400.0,170.0
2016012040,400.0,170.0
2016012041,400.0,140.0
2016012042,135.0,140.0
2016012043,135.0,57.0
2016012044,135.0,139.0
2016012045,139.0,140.0
2016012046,130.0,45.25
2016012047,160.0,90.0
2016012048,200.0,140.0
2016012101,120.89174783506277,160.0
2016012102,40.0,140.0
2016012103,120.89174783506277,160.0
2016012104,120.89174783506277,52.0
2016012105,120.89174783506277,52.0
2016012106,42.5,52.0
2016012107,42.5,52.0
2016012108,40.0,52.0
2016012109,120.89174783506277,140.0
2016012110,120.89174783506277,60.0
2016012111,140.0,160.0
2016012112,139.0,140.0
2016012113,140.0,160.0
2016012114,140.0,140.0
2016012115,139.0,139.0
2016012116,140.0,140.0
2016012117,170.0,139.0
2016012118,139.0,65.0
2016012119,139.0,65.0
2016012120,130.0,139.0
2016012121,130.0,65.0
2016012122,139.0,65.0
2016012123,65.0,139.0
2016012124,150.0,57.0
2016012125,150.0,55.74
2016012126,150.0,55.74
2016012127,150.0,170.0
2016012128,150.0,66.0
2016012129,150.0,66.0
2016012130,150.0,66.0
2016012131,184.22,66.0
2016012132,184.22,66.0
2016012133,184.22,78.25
2016012134,243.75,170.0
2016012135,243.75,155.0
2016012136,224.95,170.0
2016012137,224.95,170.0
2016012138,140.0,78.25
2016012139,140.0,139.0
2016012140,140.0,135.0
2016012141,140.0,134.0
2016012142,140.0,139.0
2016012143,140.0,135.0
2016012144,65.0,46.0
2016012145,160.0,200.0
2016012146,47.05,200.0
2016012147,160.0,200.0
2016012148,47.05,200.0
2016012201,44.0,200.0
2016012202,44.0,200.0
2016012203,44.0,200.0
2016012204,120.89174783506277,200.0
2016012205,46.95,200.0
2016012206,46.95,200.0
2016012207,40.0,200.0
2016012208,41.0,200.0
2016012209,49.0,200.0
2016012210,49.0,96.17
2016012211,49.0,138.0
2016012212,49.0,52.0
2016012213,140.0,52.0
2016012214,160.0,85.0
2016012215,119.0,140.0
2016012216,140.0,140.0
2016012217,139.0,140.0
2016012218,140.0,140.0
2016012219,185.0,140.0
2016012220,185.0,140.0
2016012221,185.0,250.0
2016012222,185.0,250.0
2016012223,185.33,250.0
2016012224,185.33,47.23
2016012225,185.33,47.23
2016012226,185.33,47.23
2016012227,185.33,140.0
2016012228,69.0,47.23
2016012229,131.0,47.45
2016012230,131.0,139.0
2016012231,131.0,139.0
2016012232,140.0,61.0
2016012233,140.0,139.0
2016012234,131.0,140.0
2016012235,140.0,160.0
2016012236,131.0,155.0
2016012237,160.0,155.0
2016012238,131.0,139.0
2016012239,140.0,155.0
2016012240,94.98,139.0
2016012241,139.0,139.0
2016012242,140.0,160.0
2016012243,140.0,140.0
2016012244,500.0,50.0
2016012245,160.0,48.0
2016012246,140.0,140.0
2016012247,120.0,120.0
2016012248,120.0,140.0
2016012301,140.0,140.0
2016012302,140.0,120.0
2016012303,160.0,135.0
2016012304,52.0,135.0
2016012305,140.0,50.0
2016012306,140.0,140.0
2016012307,95.82,79.0
2016012308,52.0,49.95
2016012309,54.35,49.95
2016012310,57.74,44.49
2016012311,140.0,44.0
2016012312,54.35,140.0
2016012313,160.0,160.0
2016012314,160.0,160.0
2016012315,160.0,140.0
2016012316,160.0,47.5
2016012317,185.0,200.0
2016012318,185.0,200.0
2016012319,185.0,200.0
2016012320,185.0,200.0
2016012321,160.0,200.0
2016012322,160.0,325.0
2016012323,160.0,200.0
2016012324,160.0,200.0
2016012325,140.0,200.0
2016012326,130.0,200.0
2016012327,119.95,200.0
2016012328,58.45,200.0
2016012329,58.45,200.0
2016012330,58.45,140.0
2016012331,58.45,60.0
2016012332,58.45,139.0
2016012333,58.45,325.0
2016012334,160.0,325.0
2016012335,170.0,140.0
2016012336,170.0,140.0
2016012337,64.24,325.0
2016012338,56.9,139.0
2016012339,140.0,139.0
2016012340,140.0,139.0
2016012341,95.0,139.0
2016012342,170.0,59.75
2016012343,170.0,47.6
2016012344,139.0,47.6
